step,position
205, 0.003449
206, 0.004544
207, 0.005795
208, 0.007203
209, 0.008767
210, 0.010489
211, 0.012048
212, 0.013451
213, 0.014698
214, 0.015789
215, 0.016724
216, 0.017502
217, 0.018123
218, 0.018589
219, 0.018897
220, 0.019049
221, 0.019044
222, 0.018882
223, 0.018564
224, 0.018103
225, 0.017650
226, 0.017209
227, 0.016778
228, 0.016359
229, 0.015949
230, 0.015550
231, 0.015161
232, 0.014782
233, 0.014412
234, 0.014052
235, 0.013700
236, 0.013357
237, 0.013023
238, 0.012698
239, 0.012380
240, 0.012070
241, 0.011768
242, 0.011474
243, 0.011187
244, 0.010907
245, 0.010634
246, 0.010368
247, 0.010109
248, 0.009856
249, 0.009609
250, 0.009369
251, 0.009134
252, 0.008906
253, 0.008683
254, 0.008466
255, 0.008254
256, 0.008048
257, 0.007846
258, 0.007650
259, 0.007459
260, 0.007272
261, 0.007090
262, 0.006913
263, 0.006740
264, 0.006571
265, 0.006407
266, 0.006247
267, 0.006090
268, 0.005938
269, 0.005789
270, 0.005645
271, 0.005503
272, 0.005366
273, 0.005231
274, 0.005101
275, 0.004973
276, 0.004849
277, 0.004727
278, 0.004609
279, 0.004494
280, 0.004381
281, 0.004272
282, 0.004165
283, 0.004061
284, 0.003959
285, 0.003860
286, 0.003763
287, 0.003669
288, 0.003578
289, 0.003488
290, 0.003401
291, 0.003316
292, 0.003233
293, 0.003152
294, 0.003073
295, 0.002996
296, 0.002921
297, 0.002848
298, 0.002777
299, 0.002707
300, 0.002640
301, 0.002574
302, 0.002509
303, 0.002446
304, 0.002385
305, 0.002326
306, 0.002267
307, 0.002211
308, 0.002155
309, 0.002101
310, 0.002049
311, 0.001998
312, 0.001948
313, 0.001899
314, 0.001851
315, 0.001805
316, 0.001760
317, 0.001716
318, 0.001673
319, 0.001631
320, 0.001590
321, 0.001551
322, 0.001512
323, 0.001474
324, 0.001437
325, 0.001401
326, 0.001366
327, 0.001332
328, 0.001299
329, 0.001266
330, 0.001234
331, 0.001204
332, 0.001173
333, 0.001144
334, 0.001115
335, 0.001088
336, 0.001060
337, 0.001034
338, 0.001008
339, 0.000983
340, 0.000958
341, 0.000934
342, 0.000911
343, 0.000888
344, 0.000866
345, 0.000844
346, 0.000823
347, 0.000802
348, 0.000782
